x1,x2,y
-3.08,2.94,0.007220
-1.92,0.54,1.976082
-4.10,0.27,4.489320
-1.92,-0.58,1.669465
-2.12,-3.05,0.051602
-0.47,1.57,3.214417
4.33,1.94,0.006918
0.52,-0.59,4.550082
4.06,-4.34,0.006917
-0.46,0.50,5.452541
-0.21,0.44,6.595826
-0.49,-0.22,8.088941
-0.37,-0.07,9.365769
-0.22,-0.26,8.394031
0.05,0.04,9.955348
-0.01,-0.01,9.992343
-1.46,1.70,0.467146
1.77,-0.68,1.097993
0.11,0.02,9.932322
1.34E+00,-1.92E+00,0.665139
1.15E+00,1.79E+00,1.056891
-3.6E+00,-1.01E+00,0.113186
-4.94E+00,1E+00,0.098899
-1.065814E-13,-1.065814E-13,10.009448
2.21E+00,2.69E+00,0.042591